product_id,rule,message
off_20004132,salt_sodium_inconsistent,"salt_g ve sodium_mg, Tuz=Sodyum*2.5 formuluyle tutarsiz (>%15 sapma)"
off_3083681094923,macro_energy_mismatch,Makrolardan hesaplanan enerji ile beyan edilen enerji arasinda >%20 sapma
off_3083681057843,macro_energy_mismatch,Makrolardan hesaplanan enerji ile beyan edilen enerji arasinda >%20 sapma
off_3017800509937,missing_energy_and_macros,Enerji ve tum makrolar eksik
off_20198107,salt_sodium_inconsistent,"salt_g ve sodium_mg, Tuz=Sodyum*2.5 formuluyle tutarsiz (>%15 sapma)"
off_20153229,salt_sodium_inconsistent,"salt_g ve sodium_mg, Tuz=Sodyum*2.5 formuluyle tutarsiz (>%15 sapma)"
off_3083681095319,macro_energy_mismatch,Makrolardan hesaplanan enerji ile beyan edilen enerji arasinda >%20 sapma
off_3083681027860,macro_energy_mismatch,Makrolardan hesaplanan enerji ile beyan edilen enerji arasinda >%20 sapma
off_3083680025881,salt_sodium_inconsistent,"salt_g ve sodium_mg, Tuz=Sodyum*2.5 formuluyle tutarsiz (>%15 sapma)"
off_3017800078846,missing_energy_and_macros,Enerji ve tum makrolar eksik
off_8712566246526,missing_energy_and_macros,Enerji ve tum makrolar eksik
off_3478820031479,macro_energy_mismatch,Makrolardan hesaplanan enerji ile beyan edilen enerji arasinda >%20 sapma
off_3017800078860,missing_energy_and_macros,Enerji ve tum makrolar eksik
off_3017800510025,missing_energy_and_macros,Enerji ve tum makrolar eksik
off_20856090,salt_sodium_inconsistent,"salt_g ve sodium_mg, Tuz=Sodyum*2.5 formuluyle tutarsiz (>%15 sapma)"
off_8720182748461,macro_energy_mismatch,Makrolardan hesaplanan enerji ile beyan edilen enerji arasinda >%20 sapma
off_3478820013185,macro_energy_mismatch,Makrolardan hesaplanan enerji ile beyan edilen enerji arasinda >%20 sapma
off_3083680002929,macro_energy_mismatch,Makrolardan hesaplanan enerji ile beyan edilen enerji arasinda >%20 sapma
off_3083680002929,salt_sodium_inconsistent,"salt_g ve sodium_mg, Tuz=Sodyum*2.5 formuluyle tutarsiz (>%15 sapma)"
